branch	sha	merge_base	source_file_count	proof_rewrite_files
ai-fix777-2	fc83fac6e6929d8d4b829a9a1bb297b9bf4c2768	57561fa37a431da4a07791ca70d7f27040223f93	1	src/theory/uf/eq_proof.cpp
ai-fix777-2-v2	b53ed6f461d210eb16734cabed9c7231a2e2df41	c2c4dd49ccf9473ab74f5ee738a56da6b204dbe8	1	src/theory/uf/eq_proof.cpp
ai-fix777-both	3d673b24a6b4d64464379e813d206d0610e7651b	57561fa37a431da4a07791ca70d7f27040223f93	3	src/prop/minisat/sat_proof_manager.cpp;src/prop/minisat/sat_proof_manager.h;src/theory/uf/eq_proof.cpp
ai-fix785	9b5e04a267c0f08fecec123dc47f8c9bc5303722	c4946681e4b646e9fc1f1f825f40a1e9f3e84124	1	src/proof/proof.cpp
ai-fixAlphaEq	d6d3b772e0696511e345da6aa6b1f0cc170f560b	f172d88a2e02f979605bc4572fa710c2749deba7	3	src/proof/proof_node_algorithm.cpp;src/proof/proof_node_algorithm.h;src/smt/proof_post_processor.cpp
ai-fixAlphaEq-2	ae915f8f4f016811f4ac549fa22a4f4ee19103b8	f172d88a2e02f979605bc4572fa710c2749deba7	3	src/proof/proof_node_algorithm.cpp;src/proof/proof_node_algorithm.h;src/smt/proof_post_processor.cpp
ai-fixP787	86c9ed2f81da1046e2358a13de13ccc4da14e84f	8096c8fef2759d5e271ab1fe9877e851d046df05	1	src/rewriter/rewrite_db_proof_cons.cpp
ai-fixProj784-2	fed2b6b6d69a41384f2db0051aa4853186911b6c	eea94505a69cb05180d4c9a619bc3033a388bec4	1	src/theory/arith/arith_proof_rcons.cpp
ai-imgBvConcat	9e43e4e27b7cc24c2455b74567ab4c11d3d6a19b	204b81e2992419d40f8ce91df4d1b5e2e7f6e0d3	4	
ai-imgDirect	8f0d8ccf1f787aa70d09dcd23e21d630f5d8d773	c2c4dd49ccf9473ab74f5ee738a56da6b204dbe8	5	src/theory/uf/eq_proof.cpp
ai-instDefer	168aeb8d4b5a9744a70b668fc4fddbbb88c643c2	2465dac5a716207165eefcc0e559f72118959cce	11	
ai-jhConflictFirst	115ae974b4d0dbf7cdda4efa5bc27e5224634e42	6024d13c001a5e01a37ca74152aabcfe6f2ac0ba	9	
ai-jhRlvInst	5825f205593af13c41812dd32f6f0defacc48384	09668f2e865a2c21335a7da238406066b2b1f938	9	
ai-macroPf	b374e333743541e1e5fbf780c9ede76fcc13994f	7f138fe3ef01e6e5c0c5459917a71a6489a84cbb	5	src/api/cpp/cvc5_proof_rule_template.cpp
ai-parserOpt	1efd9923fa3e3ac3daf2e7a26a5dfadf4f305182	1e7c37e9121e0e8a284cf292c8f20b9d48d82b3d	7	
ai-pfIncremental	3528e45cba629156c2964d92f680f956597e2515	5a726417681a3798334d71f71087424764d7a90a	7	src/proof/eo/eo_printer.cpp;src/proof/eo/eo_printer.h;src/smt/proof_logger.cpp;src/smt/proof_logger.h
ai-prepared13	a29eda4f4a94b73063113cbe8c808c58590878ee	8c8659731a1e1286efb5f3895aac540c1faa307c	4	
ai-quantOpt-1	3dcde09f8b28553be0927041dc4c6da134094597	57561fa37a431da4a07791ca70d7f27040223f93	2	
ai-toRunRegress2	5affe6f30946cf2421a8594098586ac5b9db8190	11c7a24fc1dbc1f6fb7416218fbed65bdaf8087e	0	
aletheTest	534a0156b49435ed8e0afce669797ef87cbf113c	886e4e93a6103fe09031069ed2ac5ee729a9c72c	1	src/proof/alethe/alethe_printer.cpp
alf	eb58b7f16f614e3bfac3b9f028c82e94adfa71a1	eae5e26c70cbfc7ca21e3dcdd594a6f4ff50a6ca	20	src/options/proof_options.toml;src/proof/alf/alf_printer.cpp;src/proof/proof_node_updater.cpp;src/proof/proof_node_updater.h;src/proof/theory_proof_step_buffer.cpp;src/proof/theory_proof_step_buffer.h;src/prop/prop_proof_manager.cpp;src/prop/prop_proof_manager.h;src/rewriter/rewrite_db_proof_cons.cpp;src/rewriter/rewrite_db_proof_cons.h;src/rewriter/rewrite_proof_status.cpp;src/rewriter/rewrite_proof_status.h;src/smt/proof_post_processor.cpp;src/theory/strings/infer_proof_cons.cpp
alf2	9ccf18b917eb3dfa30309e7638bd22b6fde9f33a	fd4f71f3c0ff724d589a92d6aa9c04f70f9e9dce	19	src/api/cpp/cvc5_proof_rule.cpp;src/options/proof_options.toml;src/proof/alf/alf_printer.cpp;src/prop/proof_cnf_stream.cpp;src/prop/proof_cnf_stream.h;src/prop/prop_proof_manager.cpp;src/prop/prop_proof_manager.h;src/theory/booleans/proof_checker.cpp
alf3r	97aede6d014f0a9fe2636dd369c87c49a1e82c10	3d74425f9520dee224b15a25b56eacb60b5c06aa	83	src/api/cpp/cvc5_proof_rule.cpp;src/options/proof_options.toml;src/proof/alf/alf_list_node_converter.cpp;src/proof/alf/alf_list_node_converter.h;src/proof/alf/alf_print_channel.cpp;src/proof/alf/alf_print_channel.h;src/proof/alf/alf_printer.cpp;src/proof/alf/alf_printer.h;src/proof/conv_proof_generator.cpp;src/proof/lfsc/lfsc_printer.cpp;src/proof/proof_node_updater.cpp;src/proof/proof_node_updater.h;src/prop/proof_cnf_stream.cpp;src/prop/proof_cnf_stream.h;src/prop/prop_proof_manager.cpp;src/prop/prop_proof_manager.h;src/rewriter/CMakeLists.txt;src/rewriter/basic_rewrite_rcons.cpp;src/rewriter/basic_rewrite_rcons.h;src/rewriter/mkrewrites.py;src/rewriter/node.py;src/rewriter/rewrite_db_proof_cons.cpp;src/rewriter/rewrite_db_term_process.cpp;src/rewriter/rewrite_db_term_process.h;src/rewriter/rewrite_proof_rule.cpp;src/rewriter/rewrite_proof_rule.h;src/rewriter/rewrites_template.cpp;src/rewriter/theory_rewrites_template.cpp;src/smt/proof_manager.cpp;src/smt/proof_post_processor.cpp;src/theory/booleans/proof_checker.cpp
alfAciNorm2	8af6ae6086de88bf50242534e51f6b24d97e2b5d	0afd5f5d92b2dbe602e580a71aec80fa86b16174	1	src/proof/alf/alf_printer.cpp
alfCadical	38dc4c8a7a734d7774c919b067be1243624c8a23	f5ec82d86d7adc7a16c6f8afec0a9817a656ca44	83	src/api/cpp/cvc5_proof_rule.cpp;src/options/proof_options.toml;src/proof/alf/alf_list_node_converter.cpp;src/proof/alf/alf_list_node_converter.h;src/proof/alf/alf_printer.cpp;src/proof/alf/alf_printer.h;src/proof/conv_proof_generator.cpp;src/proof/lfsc/lfsc_printer.cpp;src/proof/proof_node_updater.cpp;src/proof/proof_node_updater.h;src/prop/proof_cnf_stream.cpp;src/prop/proof_cnf_stream.h;src/prop/prop_proof_manager.cpp;src/prop/prop_proof_manager.h;src/rewriter/basic_rewrite_rcons.cpp;src/rewriter/basic_rewrite_rcons.h;src/rewriter/node.py;src/rewriter/rewrite_db_proof_cons.cpp;src/rewriter/rewrite_db_proof_cons.h;src/rewriter/rewrite_db_term_process.cpp;src/rewriter/rewrite_db_term_process.h;src/rewriter/rewrite_proof_rule.cpp;src/rewriter/rewrite_proof_rule.h;src/rewriter/rewrites_template.cpp;src/rewriter/rewrites_template.h;src/smt/proof_manager.cpp;src/smt/proof_post_processor.cpp;src/theory/booleans/proof_checker.cpp
alfDependentTypeConvert	d47d585978fcc9d568886517b53ed74a45bcf3e9	93992d0f5aa17caafa3ce67c776f0682fe2c00c7	4	src/proof/alf/alf_dependent_type_converter.cpp;src/proof/alf/alf_dependent_type_converter.h;src/proof/alf/alf_node_converter.h
alfDev	e0209e2362b6c3de364d0e78191ffc6850c8bba8	a0411b49c89dc408e085c99ee062ef05d7f446d3	21	src/options/proof_options.toml;src/proof/alf/alf_list_node_converter.cpp;src/proof/alf/alf_list_node_converter.h;src/proof/alf/alf_node_converter.cpp;src/proof/alf/alf_node_converter.h;src/proof/alf/alf_printer.cpp;src/proof/alf/alf_printer.h;src/rewriter/rewrite_proof_rule.cpp;src/rewriter/rewrite_proof_rule.h;src/smt/proof_manager.cpp
alfDoc	fbc5c9c0e6c3122d57b290242d05c5a9c33562fd	c545219d4354fb649653778779df641d701da6a1	0	
alfMoreEval	71ee23f9a679dd3f5555a46a1001f8236e69c5d4	9d1e1a15a43ea44806ec907e37c126db08485b52	1	src/proof/alf/alf_printer.cpp
alfNodeIc	46dc21789337ac1ec59a365503364cf2be25746b	a0f82efb0a4adf79eb20dc3607a83ff42b15e9a8	1	src/proof/alf/alf_node_converter.cpp
alfProp	393eb9d4f03e5e198b9cc9bbf065e3384ca7c05a	e5848ce78631698d5727cf735088010e94f352ed	19	src/api/cpp/cvc5_proof_rule.cpp;src/options/proof_options.toml;src/proof/alf/alf_printer.cpp;src/prop/proof_cnf_stream.cpp;src/prop/proof_cnf_stream.h;src/prop/prop_proof_manager.cpp;src/prop/prop_proof_manager.h;src/theory/booleans/proof_checker.cpp
alfProp2	68fad7c01e3b025475249631cb453d0050f77f0a	d0c3a614e8d5aecd0231fc54e0881ded7ef67402	1	src/proof/alf/alf_printer.cpp
alfTheoryRewrite	987bf0bc3902dda205ccb1a5467aaa89435d63e0	b364dc23d2af929e5f1d446b377557f94715b7f1	5	src/proof/alf/alf_print_channel.cpp;src/proof/alf/alf_printer.cpp;src/proof/alf/alf_printer.h;src/rewriter/rewrite_db_term_process.cpp
alphaEqVarShadow	9ccbfa8a38a48921029af99306dfb1a280182a4b	027ea637faea0acdcccd7b0d024ce388f752bfd5	2	
alphaEqVariant	a5a1dcc71d93baefdf90d37b67097a3129d7b87d	231eaa4afb7f65d14e75170ef74c75a6d1def7bc	9	src/proof/eager_proof_generator.cpp;src/proof/eager_proof_generator.h;src/theory/quantifiers/proof_checker.cpp
anoieu-0918	b6f5cc878f5f443ec4567db5c2872b64882fd111	3dcc1ef5421ab62cc1ee9af52d70042ce6861af0	0	
anonStr	f5a1cbbcda9777ed4a935ff1f44228b182771633	d1ef66608567252526f1a5e1f675f08d342cc343	9	
apUnsoundInc	76890d5ff7fe63de842fd677d9782f942cac94f2	8b0a6283a374109a9c73c63699f1cc519b36dcc5	7	
apiProofArgString	d41c0cc05d9b1d0d5536121babc3d2201645741b	7ee2beb2256aa0a145a23aaef0fd026ee8dc043f	6	src/api/java/jni/proof.cpp
apiRewrite	3f54ecceaa2191fd5819c46fdf02e6ed0160b10f	fa742c5f9269cd6ea8c2660b5fc96348dbbcf84b	18	
applyEmbedding	391b68c90b3c475e6aab90c7d2bd8cef91cac469	58d7c6d55628bab92baa26e4855f5f83824202e9	74	src/api/cpp/cvc5_proof_rule.cpp;src/options/proof_options.toml;src/proof/alf/alf_print_channel.cpp;src/proof/alf/alf_print_channel.h;src/proof/alf/alf_printer.cpp;src/proof/alf/alf_printer.h;src/proof/conv_proof_generator.cpp;src/proof/lfsc/lfsc_printer.cpp;src/proof/proof_node_updater.cpp;src/proof/proof_node_updater.h;src/rewriter/basic_rewrite_rcons.cpp;src/rewriter/basic_rewrite_rcons.h;src/rewriter/rewrite_db.cpp;src/rewriter/rewrite_db.h;src/rewriter/rewrite_db_proof_cons.cpp;src/rewriter/rewrite_db_proof_cons.h;src/rewriter/rewrite_db_term_process.cpp;src/rewriter/rewrite_db_term_process.h;src/rewriter/rewrite_proof_rule.cpp;src/rewriter/rewrite_proof_rule.h;src/rewriter/rewrites_template.h;src/smt/proof_manager.cpp;src/smt/proof_post_processor.cpp;src/smt/proof_post_processor.h;src/smt/proof_post_processor_dsl.cpp;src/smt/proof_post_processor_dsl.h;src/theory/builtin/proof_checker.cpp
applyIndexSymApi	5ee97bd7d0331d218a69525afdc601fc93d3c89b	7ee2beb2256aa0a145a23aaef0fd026ee8dc043f	1	
arithCmiFix	0dd4c334709c2c703d75f133faea6dfbf4fd6c2e	b76c2b5f1df7b523d90a086eb77f5d811049bddc	2	
arithConvToBv	f388a6c273b884bbe6f73eb62282b4920d2c66a5	6a0abb70032db7bd747724477ca63372e7c801eb	5	
arithFlattenCollect	55ce51932fbe73b83540206d07a1f5c3599f181c	46d49e43b2dea0902abb30dc9823ac7364a220d6	16	src/theory/arith/rewriter/addition.cpp;src/theory/arith/rewriter/addition.h
arithFlattenCollect2	3ba3a7741407969bf22284fbe7f10d60d751ab78	6dbf4a123b8eb2a2cf1b6151619dbf7d18292db3	3	src/theory/arith/rewriter/addition.cpp;src/theory/arith/rewriter/addition.h
arithPolyRel-fixes	b4e53e2b9802c6575867ebc365901d4db039f7bc	90eeba935ba0334699ba646ca099568562cd141d	6	src/api/cpp/cvc5_proof_rule_template.cpp;src/proof/alf/alf_printer.cpp;src/rewriter/rewrite_db_proof_cons.cpp;src/theory/arith/proof_checker.cpp
arithPurifySplit	be26f4d1aaff11b4b20bbabe0efa68cddbe9053d	2c6b7bc367315fd2b0eb2714bd9e51576f092301	5	
arithRare-1021	cf0035733214b93961c56568cf8b3084aacf392e	79b550780506cabd4808e666b3a1adc3e9ca5e82	1	
arithRareMore	be4fc1455d59a38929841710a933e8027f742d14	36b0d146f5c15fe405cf175153bf4d0ba458fbd4	4	src/rewriter/mkrewrites.py;src/rewriter/node.py;src/rewriter/rw_parser.py
arithRealPreserve	d58aedc5fd3c339d86c663c9ddd4e313073fd43d	b43bba2e36d9d1edb04d8c329fc54feac22f16f7	1	
arithReductionNoSt	2f585d4fce1ad95edb9ec0183c03368e2c0e478e	9115280669ee004b3457df3fe9e735f30688e306	1	
arraysStdCg	bf2d6d596371798e59c306f975718e4721e5b024	33c1c517f6d4a052cc669f8e11cb80bf63fae2c9	2	
assigner	8e11c9bbcc138a5eb5b43c398b0753bcd233a919	bf218d7e2d19a238622622feb24127da019e5ce0	33	
autoInferSubs	6512da10695094d7c9aa6db9be42a591bb0a5605	b72b5a5b6533a24aa0731bb42bb38b16ddf682b2	1	
autoRewSubs	919f5664adf56ad2fe343f18a016f76e75652588	99960f6c3c1afa14cebe9d79648d88d57de29c7a	8	
bagStrategy	1c4cebf1f2acd79b6d4a88eac665b156efbc0291	e743c7d855a49c5cf4aef099df38144350edd2b4	1	
bagsLastCall	feb139d7fc35186f07cdc190e9b3e3e7ec0efd40	3621c2c5e51e575ac18507fc08e9f0c0009e68b7	6	
bagsStrategy	907b576fe7dce719589c204fe305be241290c25b	6fb78cd0d5286f10e1057edc69e3bcc71266f51a	5	
bangLex	cefdea48a7de94a65ce19786977ba39d0c20baa8	77c64f33b9883f7983966e2d16099418fa833b67	1	
bbEoFinal	a8d9746583fcb5f7e96c5cd86553ac593f687d37	ee76c367ef99413e559232b411396500bd69ee36	1	src/proof/alf/alf_printer.cpp
bbEoIteMisc	3c542a1286e74cadf382b1ace0b87af689266594	fe6d0cc836eff5da4701892c5c704da452f0fb2f	0	
bbEoMul	dba72559900e7ef1bcc65054678bb2fca44cf9b9	54148e583a9d7792f86da928ef8cd2f29d25a91a	0	
bbOpt	4dd59fde1b826202becae941cdf11d56bc372c9b	aba5d8715609ab7148eaac80efd9d8bf66e789c5	2	
betaRedLifted	1967f722c8299a4e6916e77e6b6492a375ff851d	63b043746c1de2b587afdf806825edd80443d97e	0	
bitblastLc	c83e2dec841fec07f45560e29a9bc71f166f787d	4ddcbcb691c9dfd6615acbd176fdf25fb0512a4d	2	
bvAbstract-pf	bc3fbdc495b6cb4de25748ebeeef56836fc75cf4	d0799eab96d8a99d548d622c4f5a65312d5bff71	12	src/api/cpp/cvc5_proof_rule_template.cpp;src/proof/eo/eo_printer.cpp;src/proof/trust_id.cpp;src/proof/trust_id.h;src/theory/bv/proof_checker.cpp;src/theory/bv/proof_checker.h
bvBbExtf	af12fe5fa5952703d53ef7fcf3e0056323f449b2	be7662bdcd3881d349bfba4c959a0c2be4159ce9	7	
bvConvDev	89d1f81a71beb7e4af45be544b7c5938c23b9270	e7a16c6aed5322644435625feb89567314677cd2	2	
bvConvSmtLib	738c4a927771bd0c11e9d940d26d56098e6f3317	28f261c9cdb773c0ec6c75e7fc49339a19e25eb6	10	src/proof/alf/alf_printer.cpp;src/rewriter/node.py
bvConvSmtLib2	4c85878722c0b19e1c1a1f1a8ab5a2c6a1cf580b	28f261c9cdb773c0ec6c75e7fc49339a19e25eb6	22	src/api/cpp/cvc5_proof_rule_template.cpp;src/proof/alethe/alethe_node_converter.cpp;src/proof/alf/alf_printer.cpp;src/rewriter/node.py
bvEager	5cb1c408fd7ccc9d9268a68c875bf648ffc62240	a3f0848ab256d3cf85ad9863f4bc661d0cf34c7e	1	
bvEagerCpc	8a4547bc301f3f3c2eb9430f95fb045deca97c22	08c0639030e7d1de53c614e1e9b331bc0c8bf68b	2	src/proof/alf/alf_node_converter.cpp;src/proof/alf/alf_printer.cpp
bvEval	4e0a146cd9623f792e0ca940dfdd3380c1f240cd	a894daa55621dac85ba71db916e626fed95af438	1	src/proof/alf/alf_printer.cpp
bvInvAdd	f63382626aefb48faad3a937ea945657dba07819	eee93eab69729e5c9734763c80ac4753f1956662	6	
bvLimitRec	4ee683f28498260a5a46457f42df63120ccf5d2a	69bf0b9478afe565eee3a17a29d9f83492585709	1	
bvMuloEo	0587f7d42642cf7b8f6c408df260a2b301b20b78	ba649b731fa61a4668bbd98df16f121b9060afe8	3	src/api/cpp/cvc5_proof_rule_template.cpp;src/proof/alf/alf_printer.cpp
bvRewAssoc	9cca9e69e831d53c0444fc0416b8f56115ecd9ee	ae3b44eca19a293157ad6ac12ec5075e66700875	3	
bvRewDead	55fcd3d75313322417afeb645283dcbc0531d8e4	0b754ef79e418a53b337b5aabbcb284c82e8e1ea	7	
bvRewFix-0719	343288630cc9490c303120b56c51d67077c79f93	ed5e08073b9cde60a6319924d316988802c1eba1	2	
bvToIntQuant-031126	163e60360bf07bd1fcb34459914aff4e65b48b63	6fa07bf4dfce147a73d9142d62a3c534cfcfec10	1	
bvVElim	f8d3efa6a2e06a00e2cf805b2cf824d2f211c55a	4ddcbcb691c9dfd6615acbd176fdf25fb0512a4d	3	
bvaDivConquer	19a61bcd276ded99769804c68f1e132cd27b2182	561071becbc7f37da0640c812b7059416d4041a6	6	
bvmId	d9e258e9b80b068fbbd17bf424d5c461ed3ba254	ac0619882a17db469dd89da6242342f77defccdf	21	
bvmId-debug	f6d1a1935e6f901d1261373724be21cb9c6ea193	ac0619882a17db469dd89da6242342f77defccdf	22	
bvmRefactor	fcebe296d502c8ccd22a6ed4ae42a00e87eb67e2	a8d9c62f9ee03d0dfbde3279b5420f67b1127521	1	
bvmSubtypeElim	ae9146d3421b141e3b53bea2d01322beff63b495	9d9920033373422e6ae6b4a786987e1d5eb5f6b5	3	
cacheEntCheck	99fc7d6b4814e11dd1f440e356937b9d0fccb2b1	b4469530d2f6de599ddf7207a1914b88be49de5b	7	
cacheSubs	5d5e7fc3bc92100344696f70e52a48b3e5597991	9b9cd3a304f5830942a8b715b19e3cac0a771289	5	
cadicalPortfolio	3fbe3893c82c8dfa0fc01eacea13b2e75c4f7848	a2b5a9c4397f9184a4dc619443fb6ce4deef98ef	1	
canonVar	5457827fce703119bc323bd84e2cad4915011556	dfaa6d37ce9dd183741403fb40cc88ae4dcab4fc	9	
carryInst	a0e231289048583ea17c31ab20844fe005ebc1ce	54490c6053d51910f5f7c2160451ad4d36fe6946	12	
casc2024	f57410742e238449aa44da4b2dd69cce5525136b	fa90865f20aac935083620775878006a00573702	1	
casc28	fe22e0aa1fb2af623c4e13c68f06ecf4d4c25c2d	7e9491574fe63075a4261c5b385f9b8b0e5e3e9a	3	
casc28post	10658b721e1a692320793d955ac3fec3b78935b9	982b585a1b766a933055d7328579cdb482504fe4	3	src/smt/proof_manager.cpp
casc29	5b2f7630d29e63c17db05e1158ed0b645b066f0f	e9f99e6a85605539a090225b7fddfafd4d46df75	1	
cascJ10	db26022ca8d808d3b2da4860bacede49db47139c	23d43d39d17c739bc47799ba25bc6f2eae05faa1	1	
cascJ11	aeaa3e0595dea1482d6403cf6d30e49fb306f872	95f928be27f79efbaf8c9eea98730f1b076891a2	1	
cbqiDev	ed01c92ec4ec1cf4fa0e722c89b8e8411e9833d8	57b81ebe6eda45fa2a6d02c0fd071caf0fcd091a	12	
cbqiImp-v2	de4644030dc583775578509015d91cab73cfde72	43c0aaae5bf43f385b1faa598812a238810c4486	9	
cbqiTest	8424af3b71f1612ccd47277670b5ecf4cef94eba	7f138fe3ef01e6e5c0c5459917a71a6489a84cbb	0	
ccfvNew	38c3048a378b009322c41055d8108f6d59398b53	017507462863ff79583df3ce5eb2b24ad0c75611	42	
cconjGen	096c53f31a4fcd5415fe3caec549a131d1992b31	c167cfb2e57563a77158c56e89a22e05fbd02c34	16	
cdRlvTerms	8ef676c57939a8b6854245994637310c5b326cb1	8b0a6283a374109a9c73c63699f1cc519b36dcc5	6	
cdno	46ed2b25b607c203c8d890ab74992efebdcd8483	d509acd588d64ed54e569f5117df355cc02a2d79	5	
cdtNormalize	c8af3b185b62093faac0be5e1ebd5dea243dbecd	87602bc6d010eea33b8db93e80a79dcf99d230b5	9	
cegqiBvIneqIgn	6641bb261738b718c619628cd61678c95042c766	3a70d31d5b537e8239c8a2814f2e71bf1e5ee962	2	
cegqiCheckSat	e8c42c9e52ba983beb1675eaf0b1c2d37a5dcf6a	2c862d3de4a980c62059f203134307e0d571b961	3	
centralEe	0b3d9df6666c513bcbb49b602a6a983cb8eb3429	080601a885e256040e5662ef02c2ef7ee42ab264	66	
centralEeDev	c2b34f6a5cda0de367d07a7cd419cae89d0b045b	8e2c02201d30b5715a095ffe0098dd74a636ac85	17	src/theory/uf/proof_equality_engine.cpp
certoraDev	6c01631a47c7d016feceebd1b6967dd33c5ab01e	fda46132b3f5c945a2b5e75bfa6bd5c84525fee6	30	
chainMResOpt	cdebf282fc3ac22cddee66db548887fffbffe16f	97305152523d476f75c7a6c8cd440f76a8c798a8	1	src/theory/booleans/proof_checker.cpp
changeOrderBvEq	6e914623ed77e35a35b140088cbdb6f33fa80e26	1d05a49387c041dba17f85f3c4e738b4b388ace2	1	
checkAbdEnabled	0fa5258a16957abb363ca10c9f9cebb4711a9a57	68fc65dfb303d75eab953523744103ba2b65ac8e	1	
claude-eagerInst	995b23bcfa6542c8e696d5b0742cf2b7d3d070c2	95050cf8155d5bc446e89c6a114135786b8ecfd7	13	
claudeDev-dts-idef	2acf62a2602eb632c8d10a3963eda6039ebd8914	8c8659731a1e1286efb5f3895aac540c1faa307c	13	
cleanRd	0983bbbf9c77008f4d0882c7959292cb514456f4	d34e563fe48c42aa06eea44191a21dcf29772339	5	
cleanupDt	7ccdc8b86cf40501415543029853bbf84f721214	55392bd73a7af71411a3157520b758623f2f4723	2	
